c1,c2,stim,isPlural
ground,berry,groundberry,0
winter,berry,winterberry,0
bane,berry,baneberry,0
blue,berry,blueberry,0
red,berry,redberry,0
cloud,berry,cloudberry,0
spice,berry,spiceberry,0
candle,berry,candleberry,0
hack,berry,hackberry,0
whin,berry,whinberry,0
male,berry,maleberry,0
poison,berry,poisonberry,0
sand,berry,sandberry,0
bear,berry,bearberry,0
silver,berry,silverberry,0
soap,berry,soapberry,0
meal,berry,mealberry,0
spindle,berry,spindleberry,0
crow,berry,crowberry,0
snake,berry,snakeberry,0
service,berry,serviceberry,0
checker,berry,checkerberry,0
straw,berry,strawberry,0
rouge,berry,rougeberry,0
thimble,berry,thimbleberry,0
rasp,berry,raspberry,0
deer,berry,deerberry,0
wonder,berry,wonderberry,0
marl,berry,marlberry,0
coffee,berry,coffeeberry,0
black,berry,blackberry,0
goose,berry,gooseberry,0
wax,berry,waxberry,0
over,bid,overbid,0
over,bids,overbids,1
motor,bike,motorbike,0
motor,bikes,motorbikes,1
boat,bill,boatbill,0
thorn,bill,thornbill,0
broad,bill,broadbill,0
open,bill,openbill,0
hawks,bill,hawksbill,0
cross,bill,crossbill,0
saw,bill,sawbill,0
ivory,bill,ivorybill,0
saddle,bill,saddlebill,0
spoon,bill,spoonbill,0
hand,bill,handbill,0
razor,bill,razorbill,0
blue,bill,bluebill,0
way,bill,waybill,0
horn,bill,hornbill,0
cranes,bill,cranesbill,0
shoe,bill,shoebill,0
play,bill,playbill,0
storks,bill,storksbill,0
hawk,bill,hawkbill,0
duck,bill,duckbill,0
hill,billies,hillbillies,1
play,bills,playbills,1
duck,bills,duckbills,1
hand,bills,handbills,1
way,bills,waybills,1
razor,bills,razorbills,1
spoon,bills,spoonbills,1
hill,billy,hillbilly,0
litter,bin,litterbin,0
dust,bin,dustbin,0
ash,bin,ashbin,0
coal,bin,coalbin,0
waste,bin,wastebin,0
book,binder,bookbinder,0
high,binder,highbinder,0
spell,binder,spellbinder,0
book,binderies,bookbinderies,1
spell,binders,spellbinders,1
book,binders,bookbinders,1
book,bindery,bookbindery,0
book,binding,bookbinding,0
dust,bins,dustbins,1
butcher,bird,butcherbird,0
cedar,bird,cedarbird,0
surf,bird,surfbird,0
sea,bird,seabird,0
yellow,bird,yellowbird,0
tailor,bird,tailorbird,0
blue,bird,bluebird,0
shoe,bird,shoebird,0
love,bird,lovebird,0
black,bird,blackbird,0
song,bird,songbird,0
thunder,bird,thunderbird,0
tropic,bird,tropicbird,0
cow,bird,cowbird,0
lady,bird,ladybird,0
jail,bird,jailbird,0
whirly,bird,whirlybird,0
puff,bird,puffbird,0
cat,bird,catbird,0
oil,bird,oilbird,0
bower,bird,bowerbird,0
stink,bird,stinkbird,0
jay,bird,jaybird,0
oven,bird,ovenbird,0
hang,bird,hangbird,0
ant,bird,antbird,0
water,bird,waterbird,0
lyre,bird,lyrebird,0
dicky,bird,dickybird,0
snake,bird,snakebird,0
reed,bird,reedbird,0
rifle,bird,riflebird,0
bell,bird,bellbird,0
moor,bird,moorbird,0
stilt,bird,stiltbird,0
weaver,bird,weaverbird,0
snow,bird,snowbird,0
rice,bird,ricebird,0
rail,bird,railbird,0
yard,bird,yardbird,0
dickey,bird,dickeybird,0
fire,bird,firebird,0
red,bird,redbird,0
king,bird,kingbird,0
mocking,bird,mockingbird,0
humming,bird,hummingbird,0
night,bird,nightbird,0
shore,bird,shorebird,0
scrub,bird,scrubbird,0
lady,birds,ladybirds,1
black,birds,blackbirds,1
oven,birds,ovenbirds,1
lyre,birds,lyrebirds,1
love,birds,lovebirds,1
red,birds,redbirds,1
snow,birds,snowbirds,1
shore,birds,shorebirds,1
humming,birds,hummingbirds,1
song,birds,songbirds,1
jay,birds,jaybirds,1
cat,birds,catbirds,1
cow,birds,cowbirds,1
sea,birds,seabirds,1
mocking,birds,mockingbirds,1
jail,birds,jailbirds,1
whirly,birds,whirlybirds,1
water,birds,waterbirds,1
blue,birds,bluebirds,1
child,birth,childbirth,0
still,birth,stillbirth,0
after,birth,afterbirth,0
after,births,afterbirths,1
child,births,childbirths,1
still,births,stillbirths,1
frog,bit,frogbit,0
hen,bit,henbit,0
hawk,bit,hawkbit,0
snake,bite,snakebite,0
over,bite,overbite,0
frost,bite,frostbite,0
back,biter,backbiter,0
back,biters,backbiters,1
snake,bites,snakebites,1
over,bites,overbites,1
frost,bites,frostbites,1
rare,bits,rarebits,1
boot,black,bootblack,0
shoe,black,shoeblack,0
lamp,black,lampblack,0
boot,blacks,bootblacks,1
gall,bladder,gallbladder,0
gall,bladders,gallbladders,1
razor,blade,razorblade,0
switch,blade,switchblade,0
switch,blades,switchblades,1
roller,blading,rollerblading,0
sand,blast,sandblast,0
back,blast,backblast,0
plasma,blast,plasmablast,0
sand,blaster,sandblaster,0
sand,blasters,sandblasters,1
sand,blasts,sandblasts,1
trail,blazer,trailblazer,0
trail,blazers,trailblazers,1
nose,bleed,nosebleed,0
nose,bleeds,nosebleeds,1
loan,blend,loanblend,0
horn,blende,hornblende,0
eel,blenny,eelblenny,0
snake,blenny,snakeblenny,0
pike,blenny,pikeblenny,0
sun,blind,sunblind,0
snow,blindness,snowblindness,0
road,block,roadblock,0
breech,block,breechblock,0
cell,block,cellblock,0
sun,block,sunblock,0
sun,blocks,sunblocks,1
road,blocks,roadblocks,1
pure,blood,pureblood,0
life,blood,lifeblood,0
checker,bloom,checkerbloom,0
ink,blot,inkblot,0
ink,blots,inkblots,1
death,blow,deathblow,0
glass,blower,glassblower,0
whistle,blower,whistleblower,0
glass,blowers,glassblowers,1
death,blows,deathblows,1
lap,board,lapboard,0
paste,board,pasteboard,0
centre,board,centreboard,0
floor,board,floorboard,0
game,board,gameboard,0
ply,board,plyboard,0
plug,board,plugboard,0
shuffle,board,shuffleboard,0
cup,board,cupboard,0
patch,board,patchboard,0
paper,board,paperboard,0
gang,board,gangboard,0
score,board,scoreboard,0
spring,board,springboard,0
clap,board,clapboard,0
flash,board,flashboard,0
clapper,board,clapperboard,0
finger,board,fingerboard,0
side,board,sideboard,0
mop,board,mopboard,0
cheese,board,cheeseboard,0
bill,board,billboard,0
mold,board,moldboard,0
plaster,board,plasterboard,0
weather,board,weatherboard,0
buck,board,buckboard,0
sound,board,soundboard,0
punch,board,punchboard,0
chalk,board,chalkboard,0
tail,board,tailboard,0
match,board,matchboard,0
black,board,blackboard,0
straw,board,strawboard,0
fall,board,fallboard,0
mill,board,millboard,0
head,board,headboard,0
poster,board,posterboard,0
dart,board,dartboard,0
wake,board,wakeboard,0
cork,board,corkboard,0
key,board,keyboard,0
duck,board,duckboard,0
drain,board,drainboard,0
shovel,board,shovelboard,0
switch,board,switchboard,0
gar,board,garboard,0
snow,board,snowboard,0
splash,board,splashboard,0
skate,board,skateboard,0
chip,board,chipboard,0
hard,board,hardboard,0
dash,board,dashboard,0
sign,board,signboard,0
checker,board,checkerboard,0
mould,board,mouldboard,0
sea,board,seaboard,0
card,board,cardboard,0
back,board,backboard,0
bread,board,breadboard,0
star,board,starboard,0
wall,board,wallboard,0
surf,board,surfboard,0
clip,board,clipboard,0
foot,board,footboard,0
peg,board,pegboard,0
fibre,board,fibreboard,0
base,board,baseboard,0
fiber,board,fiberboard,0
teeter,board,teeterboard,0
work,board,workboard,0
center,board,centerboard,0
wash,board,washboard,0
chess,board,chessboard,0
mortar,board,mortarboard,0
dagger,board,daggerboard,0
high,board,highboard,0
snow,boarder,snowboarder,0
skate,boarder,skateboarder,0
surf,boarder,surfboarder,0
skate,boarders,skateboarders,1
snow,boarders,snowboarders,1
skate,boarding,skateboarding,0
surf,boarding,surfboarding,0
snow,boarding,snowboarding,0
flash,boarding,flashboarding,0
weather,boarding,weatherboarding,0
bread,boards,breadboards,1
buck,boards,buckboards,1
chess,boards,chessboards,1
peg,boards,pegboards,1
